Tahun,USD,JPY,DEM,NLG,GBP,FRH,CHF,SGD,MYR,HKD,AUD,CAD
Juli,"9,118.00","8,445.00",0,0,"18,057.00",0,"8,711.00","6,665.00","2,794.00","1,169.00","8,613.00","8,912.00"
Juni,"9,225.00","8,672.00",0,0,"18,397.00",0,"9,048.00","6,779.00","2,825.00","1,183.00","8,879.00","9,137.00"
Mei,"9,318.00","8,827.00",0,0,"18,410.00",0,"8,884.00","6,822.00","2,875.00","1,194.00","8,894.00","9,416.00"
April,"9,234.00","8,865.00",0,0,"18,157.00",0,"8,895.00","6,784.00","2,925.00","1,185.00","8,622.00","9,111.00"
Maret,"9,217.00","9,227.00",0,0,"18,391.00",0,"9,241.00","6,683.00","2,893.00","1,184.00","8,450.00","9,012.00"
Februari,"9,230.00","7,926.00",0,0,"16,052.00",0,"6,978.00","5,679.00","2,486.00","1,190.00","6,801.00","8,090.00"
Januari,"9,291.00","8,732.00",0,0,"18,449.00",0,"8,566.00","6,550.00","2,871.00","1,191.00","8,268.00","9,335.00"
2007,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,419.00","8,307.00",0,0,"18,804.00",0,"8,260.00","6,502.00","2,828.00","1,208.00","8,229.00","9,596.00"
November,"9,376.00","8,516.00",0,0,"19,355.00",0,"8,382.00","6,485.00","2,792.00","1,204.00","8,309.00","9,400.00"
Oktober,"9,103.00","7,932.00",0,0,"18,837.00",0,"7,859.00","6,279.00","2,724.00","1,175.00","8,394.00","9,544.00"
September,"9,137.00","7,935.00",0,0,"18,497.00",0,"7,801.00","6,132.00","2,676.00","1,177.00","8,058.00","9,127.00"
Agustus,"9,410.00","8,107.00",0,0,"18,963.00",0,"7,828.00","6,178.00","2,687.00","1,207.00","7,696.00","8,899.00"
Juli,"9,186.00","7,724.00",0,0,"18,665.00",0,"7,640.00","6,079.00","2,659.00","1,174.00","7,901.00","8,630.00"
Juni,"9,054.00","7,347.00",0,0,"18,125.00",0,"7,344.00","5,908.00","2,619.00","1,158.00","7,676.00","8,544.00"
Mei,"8,828.00","7,266.00",0,0,"17,441.00",0,"7,203.00","5,772.00","2,596.00","1,131.00","7,260.00","8,221.00"
April,"8,828.00","7,266.00",0,0,"17,441.00",0,"7,203.00","5,772.00","2,596.00","1,131.00","7,260.00","8,221.00"
Maret,"9,118.00","7,758.00",0,0,"17,895.00",0,"7,491.00","6,012.00","2,638.00","1,167.00","7,364.00","7,875.00"
Februari,"9,160.00","7,733.00",0,0,"17,987.00",0,"7,513.00","5,994.00","2,613.00","1,173.00","7,213.00","7,846.00"
Januari,"9,090.00","7,473.00",0,0,"17,835.00",0,"7,260.00","5,914.00","2,596.00","1,164.00","7,019.00","7,701.00"
2006,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,020.00","7,580.00",0,0,"17,697.00",0,"7,382.00","5,879.00","2,554.00","1,160.00","7,133.00","7,774.00"
November,"9,165.00","7,886.00",0,0,"17,855.00",0,"7,582.00","5,937.00","2,531.00","1,179.00","7,197.00","8,052.00"
Oktober,"9,110.00","7,755.00",0,0,"17,316.00",0,"7,292.00","5,833.00","2,498.00","1,172.00","7,009.00","8,095.00"
September,"9,235.00","7,841.00",0,0,"17,340.00",0,"7,408.00","5,819.00","2,507.00","1,186.00","6,907.00","8,310.00"
Agustus,"9,100.00","7,767.00",0,0,"17,334.00",0,"7,410.00","5,787.00","2,472.00","1,170.00","6,946.00","8,206.00"
Juli,"9,070.00","7,913.00",0,0,"16,892.00",0,"7,358.00","5,742.00","2,482.00","1,167.00","6,944.00","8,023.00"
Juni,"9,300.00","8,096.00",0,0,"17,050.00",0,"7,546.00","5,854.00","2,530.00","1,197.00","6,894.00","8,383.00"
Mei,"9,220.00","8,220.00",0,0,"17,354.00",0,"7,608.00","5,849.00","2,541.00","1,188.00","7,036.00","8,385.00"
April,"8,775.00","7,672.00",0,0,"15,797.00",0,"6,962.00","5,543.00","2,421.00","1,132.00","6,625.00","7,805.00"
Maret,"9,075.00","7,698.00",0,0,"15,820.00",0,"6,934.00","5,596.00","2,455.00","1,169.00","6,377.00","7,757.00"
Februari,"9,230.00","7,926.00",0,0,"16,052.00",0,"6,978.00","5,679.00","2,486.00","1,190.00","6,801.00","8,090.00"
Januari,"9,395.00","8,008.00",0,0,"16,616.00",0,"7,317.00","5,768.00","2,505.00","1,211.00","7,050.00","8,177.00"
2005,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,830.00","8,342.00",0,0,"16,947.00",0,"7,490.00","5,907.00","2,601.00","1,268.00","7,207.00","8,448.00"
November,"10,035.00","8,392.00",0,0,"17,243.00",0,"7,639.00","5,925.00","2,655.00","1,294.00","7,414.00","8,583.00"
Oktober,"10,090.00","8,725.00",0,0,"17,913.00",0,"7,882.00","5,967.00","2,673.00","1,301.00","7,567.00","8,578.00"
September,"10,310.00","9,124.00",0,0,"18,166.00",0,"7,976.00","6,105.00","2,735.00","1,329.00","7,858.00","8,800.00"
Agustus,"10,240.00","9,211.00",0,0,"18,307.00",0,"8,077.00","6,080.00","2,715.00","1,318.00","7,664.00","8,588.00"
Juli,"9,819.00","8,747.00",0,0,"17,231.00",0,"7,643.00","5,910.00","2,618.00","1,263.00","7,461.00","7,979.00"
Juni,"9,713.00","8,799.00",0,0,"17,544.00",0,"7,579.00","5,764.00","2,556.00","1,250.00","7,416.00","7,898.00"
Mei,"9,495.00","8,776.00",0,0,"17,231.00",0,"7,621.00","5,710.00","2,499.00","1,221.00","7,175.00","7,532.00"
April,"9,570.00","9,041.00",0,0,"18,274.00",0,"8,040.00","5,811.00","2,518.00","1,227.00","7,442.00","7,643.00"
Maret,"9,480.00","8,848.00",0,0,"17,815.00",0,"7,909.00","5,749.00","2,495.00","1,216.00","7,313.00","7,790.00"
Februari,"9,260.00","8,835.00",0,0,"17,813.00",0,"7,979.00","5,687.00","2,437.00","1,187.00","7,310.00","7,494.00"
Januari,"9,165.00","8,844.00",0,0,"17,273.00",0,"7,707.00","5,591.00","2,412.00","1,175.00","7,093.00","7,377.00"
2004,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,290.00","9,042.00",0,0,"17,888.00",0,"8,194.00","5,685.00","2,445.00","1,195.00","7,242.00","7,717.00"
November,"9,018.00","8,740.00",0,0,"17,032.00",0,"7,882.00","5,493.00","2,373.00","1,160.00","7,003.00","7,593.00"
Oktober,"9,090.00","8,561.00",0,0,"16,645.00",0,"7,568.00","5,464.00","2,392.00","1,169.00","6,769.00","7,434.00"
September,"9,710.00","8,264.00",0,0,"16,509.00",0,"7,276.00","5,421.00","2,413.00","1,176.00","7,222.00","7,222.00"
Agustus,"9,328.00","8,508.00",0,0,"16,778.00",0,"7,309.00","5,444.00","2,455.00","1,196.00","6,541.00","7,086.00"
Juli,"9,168.00","8,188.00",0,0,"16,667.00",0,"7,162.00","5,319.00","2,413.00","1,175.00","6,410.00","6,912.00"
Juni,"9,415.00","8,680.00",0,0,"17,029.00",0,"7,446.00","5,485.00","2,478.00","1,207.00","6,480.00","6,991.00"
Mei,"9,210.00","8,384.00",0,0,"16,897.00",0,"7,352.00","5,422.00","2,424.00","1,182.00","6,564.00","6,753.00"
April,"8,661.00","7,856.00",0,0,"15,379.00",0,"6,716.00","5,081.00","2,279.00","1,110.00","6,249.00","6,316.00"
Maret,"8,587.00","8,212.00",0,0,"15,728.00",0,"6,722.00","5,118.00","2,260.00","1,102.00","6,507.00","6,585.00"
Februari,"8,447.00","7,715.00",0,0,"15,744.00",0,"6,667.00","4,961.00","2,223.00","1,085.00","6,519.00","6,281.00"
Januari,"8,441.00","7,964.00",0,0,"15,339.00",0,"6,706.00","4,955.00","2,221.00","1,086.00","6,439.00","6,342.00"
2003,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"8,465.00","7,917.00",0,0,"15,076.00",0,"6,824.00","4,977.00","2,228.00","1,090.00","6,347.00","6,541.00"
November,"8,537.00","7,814.00",0,0,"14,532.00",0,"6,562.00","4,959.00","2,247.00","1,100.00","6,162.00","6,545.00"
Oktober,"8,495.00","7,807.00",0,0,"14,413.00",0,"6,369.00","4,891.00","2,236.00","1,094.00","5,987.00","6,463.00"
September,"8,389.00","7,553.00",0,0,"14,010.00",0,"6,342.00","4,854.00","2,208.00","1,083.00","5,702.00","6,203.00"
Agustus,"8,535.00","7,286.00",0,0,"13,474.00",0,"6,042.00","4,858.00","2,246.00","1,094.00","5,465.00","6,095.00"
Juli,"8,505.00","7,081.00",0,0,"13,740.00",0,"6,232.00","4,837.00","2,238.00","1,091.00","5,541.00","6,065.00"
Juni,"8,285.00","6,913.00",0,0,"13,698.00",0,"6,131.00","4,716.00","2,180.00","1,062.00","5,525.00","6,150.00"
Mei,"8,279.00","6,926.00",0,0,"13,542.00",0,"6,375.00","4,769.00","2,179.00","1,062.00","5,965.00","9,723.00"
April,"8,675.00","7,263.00",0,0,"13,852.00",0,"6,397.00","4,895.00","2,283.00","1,112.00","6,031.00","9,653.00"
Maret,"8,908.00","7,450.00",0,0,"14,033.00",0,"6,524.00","5,048.00","2,344.00","1,142.00","6,060.00","9,634.00"
Februari,"8,905.00","7,564.00",0,0,"14,059.00",0,"6,543.00","5,125.00","2,343.00","1,142.00","5,960.00","9,570.00"
Januari,"8,876.00","7,449.00",0,0,"14,674.00",0,"6,544.00","5,106.00","2,336.00","1,138.00","5,218.00","5,810.00"
2002,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"8,940.00","7,540.00",0,0,"14,335.00",0,"6,445.00","5,154.00","2,353.00","1,146.00","5,065.00","5,672.00"
November,"8,976.00","7,338.00",0,0,"13,916.00",0,"6,043.00","5,092.00","2,362.00","1,151.00","5,037.00","5,703.00"
Oktober,"9,233.00","7,507.00",0,0,"14,400.00",0,"6,229.00","5,220.00","2,425.00","1,184.00","5,111.00","5,883.00"
September,"9,015.00","7,412.00",0,0,"14,090.00",0,"6,053.00","5,071.00","2,372.00","1,156.00","4,897.00","5,709.00"
Agustus,"8,867.00","7,509.00",0,0,"13,724.00",0,"5,936.00","5,069.00","2,333.00","1,137.00","4,898.00","5,688.00"
Juli,"9,108.00","7,600.00",0,0,"14,327.00",0,"6,157.00","5,163.00","2,397.00","1,168.00","4,988.00","5,783.00"
Juni,"8,730.00","7,309.00",0,0,"13,342.00",0,"5,859.00","4,944.00","2,297.00","1,119.00","4,930.00","5,776.00"
Mei,"8,785.00","7,122.03",0,0,"12,872.69",0,"5,623.49","4,920.20","2,311.85","1,126.36","4,975.40","5,724.26"
April,"9,316.00","7,269.61",0,0,"13,582.74",0,"5,750.45","5,146.40","2,451.58","1,194.46","5,028.33","5,949.31"
Maret,"9,655.00","7,290.43",0,0,"13,767.56",0,"5,755.60","5,240.46","2,540.80","1,238.05","5,119.58","6,059.38"
Februari,"10,189.00","7,611.70",0,0,"14,458.71",0,"5,969.66","5,553.50","2,681.32","1,306.43","5,260.09","6,331.73"
Januari,"10,320.00","7,779.89","4,552.41","4,040.29","14,601.27","1,357.34","6,046.41","5,631.97","2,715.79","1,323.18","5,238.96","6,500.80"
2001,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"10,400.00","7,916.00","4,698.00","4,170.00","15,080.00","1,401.00","6,208.00","5,621.00","2,737.00","1,334.00","5,310.00","6,544.00"
November,"10,430.00","8,415.00","4,728.00","4,196.00","14,860.00","1,409.00","6,296.00","5,692.00","2,745.00","1,337.00","5,407.00","6,608.00"
Oktober,"10,435.00","8,558.55","4,837.36","4,293.19","15,159.46","1,442.30","6,430.65","5,725.66","2,746.06","1,337.83","5,263.95","6,609.05"
September,"9,675.00","8,111.52","4,524.13","4,015.20","14,237.26","1,348.91","5,981.83","5,482.53","2,546.06","1,240.44","4,745.12","6,127.31"
Agustus,"8,865.00","7,453.66","4,160.32","3,692.32","12,932.28","1,240.44","5,371.76","5,099.24","2,332.90","1,136.58","4,734.37","5,732.68"
Juli,"9,525.00","7,629.47","4,262.10","3,782.65","13,606.96","1,270.78","5,520.79","5,282.58","2,506.58","1,221.24","4,798.23","6,233.24"
Juni,"11,440.00","9,220.24","4,945.56","4,389.23","16,116.70","1,474.57","6,352.74","6,283.66","3,010.53","1,466.74","5,793.80","7,508.55"
Mei,"11,058.00","9,217.33","4,838.38","4,294.10","15,764.86","1,442.61","6,210.98","6,114.47","2,910.00","1,417.82","5,654.52","7,155.91"
April,"11,675.00","9,420.66","5,320.86","4,722.30","16,745.48","1,586.46","6,767.74","6,421.90","3,072.37","1,496.93","5,947.85","7,569.88"
Maret,"10,400.00","8,370.00","4,681.82","4,155.15","14,852.27","1,395.93","6,014.00","5,778.91","2,736.85","1,333.49","5,098.62","6,609.07"
Februari,"9,835.00","8,452.97","4,610.00","4,091.41","14,179.63","1,374.51","5,856.44","5,646.79","2,588.16","1,260.97","5,153.06","6,432.74"
Januari,"9,450.00","8,131.49","4,477.86","3,974.14","13,814.98","1,335.12","5,743.64","5,416.10","2,486.85","1,211.66","5,167.75","6,284.51"
2000,"9,595.00","8,357.30","4,556.63","4,044.04","14,299.45","1,358.60","5,859.55","5,539.05","2,525.01","5,318.53",460.26,"6,389.01"
1999,"7,100.00","6,947.09","3,654.56","3,243.45","11,494.92","1,089.64","4,449.88","4,260.43","1,868.42","4,622.12",369.15,"4,886.28"
1998,"8,025.00","7,000.49","4,776.93","4,239.64","13,335.97","1,424.27","5,806.82","4,835.80","2,111.82","4,923.36",482.45,"5,182.11"
1997,"4,650.00","3,578.31","2,597.77","2,305.87","7,708.79",776.35,"3,196.98","2,772.83","1,198.47","3,039.94",264.36,"3,246.87"
1996,"2,383.00","2,058.39","1,535.98","1,368.17","4,036.98",456.27,"1,772.87","1,704.97",943.77,"1,902.92",156.15,"1,745.33"
